city,date,temperature_c_era5,humidity_pct_era5,rainfall_mm_era5,wind_speed_ms_era5,temperature_c_merra2,humidity_pct_merra2,rainfall_mm_merra2,wind_speed_ms_merra2
Agartala,2025-01-28,19.6,65,0.0,1.36,18.47,69.54,0.0,1.41
Agartala,2025-01-29,19.3,60,0.0,1.36,18.88,59.26,0.0,1.48
Agartala,2025-01-30,21.4,72,3.3,2.85,18.83,66.8,0.21,2.15
Agartala,2025-01-31,21.6,88,1.0,2.85,20.97,85.93,0.68,3.04
Agartala,2025-02-01,22.3,78,0.2,1.59,21.5,74.42,0.13,1.62
Agartala,2025-02-02,22.0,77,0.0,1.46,19.77,73.25,0.0,2.19
Agartala,2025-02-03,21.3,66,0.0,1.57,19.82,66.09,0.0,2.27
Agartala,2025-02-04,21.0,61,0.0,0.94,19.45,64.36,0.0,2.09
Agartala,2025-02-05,21.5,69,0.0,1.61,20.08,63.56,0.0,1.8
Agartala,2025-02-06,22.2,69,0.0,1.85,20.81,69.78,0.0,2.22
Agartala,2025-02-07,19.3,60,0.0,1.51,19.82,57.75,0.0,2.05
Agartala,2025-02-08,18.6,65,0.0,1.39,18.04,49.86,0.0,2.41
Agartala,2025-02-09,19.3,64,0.0,1.14,18.27,50.0,0.0,1.81
Agartala,2025-02-10,20.5,63,0.0,1.93,19.43,51.26,0.0,1.71
Agartala,2025-02-11,22.4,79,0.2,3.07,19.22,73.17,0.0,2.78
Agartala,2025-02-12,23.3,80,2.0,2.72,21.58,74.68,0.04,3.03
Agartala,2025-02-13,23.5,82,1.1,2.97,22.26,78.79,0.11,2.98
Agartala,2025-02-14,21.5,56,0.0,1.62,21.36,57.38,0.29,2.13
Agartala,2025-02-15,21.7,51,0.0,1.44,19.93,43.97,0.0,2.12
Agartala,2025-02-16,22.6,57,0.0,2.03,21.2,43.52,0.0,1.85
Agartala,2025-02-17,23.9,60,0.5,2.05,21.92,58.23,0.0,2.11
Agartala,2025-02-18,22.7,76,5.4,1.85,23.69,64.92,0.0,2.02
Agartala,2025-02-19,23.3,69,0.2,1.47,24.18,59.04,0.0,1.26
Agartala,2025-02-20,24.5,61,0.0,1.53,23.83,55.05,0.0,1.81
Agartala,2025-02-21,24.1,63,0.0,1.25,23.66,55.24,0.0,1.94
Agartala,2025-02-22,24.4,62,0.0,1.74,24.51,54.29,0.0,1.78
Agartala,2025-02-23,22.8,71,0.0,1.91,23.18,61.99,1.2,2.17
Agartala,2025-02-24,23.4,62,0.0,1.79,22.89,61.02,0.0,2.49
Agartala,2025-02-25,23.4,56,0.0,1.77,22.83,50.68,0.0,2.67
Agartala,2025-02-26,23.0,57,0.0,1.51,22.21,51.86,0.0,2.7
Agartala,2025-02-27,23.8,57,0.0,1.29,23.31,50.04,0.0,2.28
Agartala,2025-02-28,24.4,64,0.0,1.5,23.86,50.83,0.0,1.94
Agartala,2025-03-01,25.7,68,0.8,3.02,24.62,50.42,0.0,2.21
Agartala,2025-03-02,26.0,72,0.0,2.72,25.93,64.25,0.0,3.19
Agartala,2025-03-03,26.3,54,0.0,1.71,25.64,62.04,0.0,2.5
Agartala,2025-03-04,25.3,44,0.0,2.04,24.94,41.73,0.0,2.29
Agartala,2025-03-05,24.6,45,0.0,2.25,24.08,45.07,0.0,3.05
Agartala,2025-03-06,24.1,48,0.0,1.79,23.58,38.39,0.0,2.11
Agartala,2025-03-07,23.2,47,0.0,1.96,22.61,37.23,0.0,2.72
Agartala,2025-03-08,24.7,49,0.0,2.44,23.31,40.51,0.0,2.53
Agartala,2025-03-09,24.8,54,0.0,1.6,24.39,55.55,0.69,1.59
Agartala,2025-03-10,26.0,46,0.0,1.84,24.71,46.8,1.37,2.47
Agartala,2025-03-11,26.2,55,0.2,1.83,26.39,45.27,0.0,2.09
Agartala,2025-03-12,26.6,58,0.0,2.89,26.23,52.77,0.0,3.05
Agartala,2025-03-13,27.0,75,0.7,4.3,27.43,67.34,0.22,3.64
Agartala,2025-03-14,27.9,76,0.5,3.69,28.11,70.26,1.42,3.53
Agartala,2025-03-15,28.4,74,2.0,3.42,28.23,68.89,1.1,2.93
Agartala,2025-03-16,28.9,69,0.3,3.39,28.71,64.69,1.24,3.29
Agartala,2025-03-17,27.7,73,1.5,3.2,28.96,62.5,1.43,3.94
Agartala,2025-03-18,28.0,70,0.8,2.21,28.4,61.55,1.42,2.9
Agartala,2025-03-19,28.2,66,0.1,2.51,28.25,60.34,0.32,2.44
Agartala,2025-03-20,26.9,73,0.3,2.32,28.36,59.21,0.31,2.58
Agartala,2025-03-21,25.6,63,0.3,2.01,24.92,64.52,0.37,2.86
Agartala,2025-03-22,23.5,73,0.6,1.64,24.25,60.06,0.06,2.05
Agartala,2025-03-23,25.4,57,0.0,1.79,25.71,53.01,0.06,2.67
Agartala,2025-03-24,26.0,50,0.0,2.06,25.76,49.1,0.01,2.49
Agartala,2025-03-25,27.0,46,0.0,1.65,26.42,44.94,0.0,2.44
Agartala,2025-03-26,27.7,48,0.0,1.69,27.65,40.12,0.0,2.08
Agartala,2025-03-27,28.8,56,0.0,2.65,28.19,48.12,0.0,1.99
Agartala,2025-03-28,29.7,64,0.0,4.35,28.96,60.39,0.0,3.68
Agartala,2025-03-29,29.8,69,0.0,3.92,29.38,60.0,0.0,3.7
Agartala,2025-03-30,29.8,62,0.1,2.93,29.23,61.79,0.0,2.75
Agartala,2025-03-31,29.4,65,0.0,2.95,29.2,60.16,0.44,2.9
Agartala,2025-04-01,29.4,65,0.0,3.12,28.78,65.59,1.51,3.11
Agartala,2025-04-02,29.4,64,0.1,2.46,28.93,60.21,1.97,1.94
Agartala,2025-04-03,30.4,59,0.1,2.65,29.5,53.4,0.64,2.39
Agartala,2025-04-04,29.9,59,0.0,1.75,30.52,44.83,0.0,2.31
Agartala,2025-04-05,28.3,65,7.1,2.55,30.11,51.0,0.0,2.92
Agartala,2025-04-06,28.3,64,2.9,2.58,30.53,54.52,0.28,2.49
Agartala,2025-04-07,29.6,57,0.0,1.84,30.65,52.55,1.52,1.28
Agartala,2025-04-08,28.7,65,0.2,1.75,28.4,64.52,1.26,1.81
Agartala,2025-04-09,29.3,58,0.0,1.57,30.25,53.36,0.0,1.98
Agartala,2025-04-10,29.1,58,0.2,1.93,30.2,49.27,0.04,1.75
Agartala,2025-04-11,27.7,67,6.8,2.59,28.62,59.0,10.14,2.25
Agartala,2025-04-12,27.9,66,1.8,1.2,28.86,62.64,3.05,1.94
Agartala,2025-04-13,30.1,58,0.0,1.55,27.49,65.24,5.66,1.9
Agartala,2025-04-14,30.6,55,0.1,1.72,27.43,65.01,0.71,1.7
Agartala,2025-04-15,28.1,66,1.7,2.16,29.09,54.89,0.69,1.59
Agartala,2025-04-16,25.6,79,19.1,2.0,28.8,62.2,7.14,2.04
Agartala,2025-04-17,25.6,78,12.9,1.69,26.84,75.75,21.13,1.86
Agartala,2025-04-18,25.3,82,22.5,2.03,27.24,73.21,9.36,2.07
Agartala,2025-04-19,26.2,81,7.6,2.39,27.75,73.22,6.71,2.33
Agartala,2025-04-20,26.4,84,19.7,2.07,28.51,75.07,10.56,2.9
Agartala,2025-04-21,26.6,88,4.0,2.73,28.74,83.06,36.41,3.0
Agartala,2025-04-22,28.4,83,3.2,4.18,28.86,81.7,15.39,4.45
Agartala,2025-04-23,29.5,79,0.5,5.95,29.55,78.94,4.5,6.53
Agartala,2025-04-24,29.8,76,0.8,5.22,29.73,78.28,7.06,6.35
Agartala,2025-04-25,29.8,76,0.7,5.19,29.09,78.69,7.69,5.22
Agartala,2025-04-26,30.0,72,0.0,4.65,29.5,75.6,0.63,4.76
Agartala,2025-04-27,29.6,71,1.5,2.6,29.17,72.97,10.36,2.33
Agartala,2025-04-28,24.8,86,16.9,2.17,27.73,75.66,8.27,1.59
Agartala,2025-04-29,25.5,79,0.2,1.61,26.5,76.07,20.65,1.49
Agartala,2025-04-30,26.5,76,0.8,1.08,27.39,72.31,4.34,1.24
Agartala,2025-05-01,26.1,78,0.6,1.49,28.21,68.52,2.42,1.36
Agartala,2025-05-02,26.3,75,3.5,2.21,27.9,69.22,10.34,1.39
Agartala,2025-05-03,27.2,73,0.6,1.58,28.11,67.71,1.7,1.78
Agartala,2025-05-04,28.4,69,0.2,1.75,28.12,74.21,1.05,2.16
Agartala,2025-05-05,29.3,65,0.0,1.98,28.43,74.32,1.28,1.98
Agartala,2025-05-06,27.7,75,1.3,1.42,29.29,70.05,4.62,1.51
Agartala,2025-05-07,29.5,65,0.1,2.0,29.4,67.29,0.96,1.76
Agartala,2025-05-08,31.0,62,0.0,2.01,30.67,68.26,4.67,2.52
Agartala,2025-05-09,31.5,61,0.0,1.71,31.37,64.69,0.58,2.31
Agartala,2025-05-10,31.8,61,0.1,2.19,32.17,62.55,0.06,2.65
Agartala,2025-05-11,31.1,63,0.0,1.73,32.08,63.97,4.29,2.19
Agartala,2025-05-12,29.2,72,0.2,1.85,29.34,77.05,29.73,2.27
Agartala,2025-05-13,28.8,81,7.5,3.29,29.06,79.89,21.21,3.08
Agartala,2025-05-14,30.0,74,0.2,2.78,29.74,79.31,9.79,3.32
Agartala,2025-05-15,29.9,75,0.2,1.92,29.4,81.38,14.31,2.18
Agartala,2025-05-16,28.1,84,14.4,2.83,29.84,79.78,12.63,2.92
Agartala,2025-05-17,28.2,80,4.2,3.17,28.86,84.63,34.35,2.24
Agartala,2025-05-18,27.7,81,0.6,2.37,28.4,83.28,20.95,2.54
Agartala,2025-05-19,26.6,88,4.8,1.64,28.55,83.07,10.12,2.34
Agartala,2025-05-20,26.5,89,14.9,2.79,28.37,87.92,39.6,3.75
Agartala,2025-05-21,27.3,86,4.9,2.59,27.89,90.45,32.36,3.24
Agartala,2025-05-22,26.7,88,2.4,1.98,28.41,84.02,23.98,1.66
Agartala,2025-05-23,27.8,84,4.8,2.01,27.68,87.52,3.32,2.14
Agartala,2025-05-24,27.8,85,5.8,1.8,28.41,86.4,9.17,2.19
Agartala,2025-05-25,29.1,80,0.9,1.36,28.83,83.35,7.76,0.96
Agartala,2025-05-26,28.2,85,19.3,1.88,28.44,87.49,26.44,1.47
Agartala,2025-05-27,29.6,78,1.4,2.37,29.46,82.38,5.5,2.25
Agartala,2025-05-28,27.7,87,11.5,2.97,28.1,89.96,8.6,3.25
Agartala,2025-05-29,25.7,97,103.0,6.08,27.52,92.4,92.36,5.88
Agartala,2025-05-30,26.4,94,37.8,6.09,28.19,92.47,63.31,8.89
Agartala,2025-05-31,26.4,94,43.7,4.44,28.24,93.52,71.69,4.98
Agartala,2025-06-01,27.2,90,4.7,4.34,28.45,91.24,63.09,3.78
Agartala,2025-06-02,27.5,87,2.8,4.33,28.61,91.26,39.3,3.95
Agartala,2025-06-03,27.6,85,7.0,3.83,28.03,89.31,26.51,3.56
Agartala,2025-06-04,26.6,89,5.6,3.31,27.11,93.26,28.24,3.09
Agartala,2025-06-05,26.3,90,39.4,1.77,27.94,87.62,23.11,2.63
Agartala,2025-06-06,27.7,84,4.2,1.87,28.55,86.92,32.01,2.06
Agartala,2025-06-07,28.7,84,0.2,1.49,28.98,85.25,7.28,1.51
Agartala,2025-06-08,29.1,81,5.7,1.37,29.54,82.38,0.13,1.47
Agartala,2025-06-09,29.6,82,1.2,1.74,30.22,79.29,1.32,1.57
Agartala,2025-06-10,28.9,86,13.6,1.64,29.39,87.06,16.16,2.58
Agartala,2025-06-11,28.9,82,10.4,1.73,29.11,83.52,7.48,1.97
Agartala,2025-06-12,29.6,78,0.6,1.87,28.39,89.76,9.05,2.49
Agartala,2025-06-13,29.6,82,1.9,2.21,29.6,85.34,2.89,2.03
Agartala,2025-06-14,28.5,85,2.3,2.25,28.18,91.65,6.52,3.27
Agartala,2025-06-15,27.7,89,9.9,2.83,28.44,89.96,4.0,2.48
Agartala,2025-06-16,27.4,89,17.6,4.33,28.13,91.12,14.12,2.49
Agartala,2025-06-17,26.8,91,15.1,5.91,28.14,91.51,17.27,4.4
Agartala,2025-06-18,25.8,96,20.7,5.33,27.95,92.28,16.3,5.33
Agartala,2025-06-19,27.1,87,5.1,5.24,27.86,90.75,10.01,6.49
Agartala,2025-06-20,27.0,91,17.7,4.44,28.57,89.31,7.72,4.19
Agartala,2025-06-21,27.9,88,6.0,3.74,28.34,90.99,7.59,3.92
Agartala,2025-06-22,28.7,83,1.9,3.47,27.98,89.89,2.49,3.28
Agartala,2025-06-23,27.9,86,8.7,3.21,28.14,89.6,12.36,3.36
Agartala,2025-06-24,28.5,83,3.0,3.0,28.57,88.99,4.05,2.59
Agartala,2025-06-25,27.9,88,8.0,3.37,27.94,92.96,22.25,3.4
Agartala,2025-06-26,27.8,87,16.4,3.93,28.11,90.12,10.66,3.78
Agartala,2025-06-27,27.8,85,3.1,4.4,28.25,89.12,3.54,3.91
Agartala,2025-06-28,28.1,83,1.1,4.86,27.32,90.75,0.92,4.04
Agartala,2025-06-29,28.6,81,2.3,4.61,27.65,90.2,2.88,4.17
Agartala,2025-06-30,28.3,83,1.6,4.13,28.29,89.45,7.4,4.56
Agartala,2025-07-01,27.9,86,3.6,3.69,28.38,88.9,4.88,3.19
Agartala,2025-07-02,28.0,83,4.3,5.0,28.52,89.19,4.34,3.87
Agartala,2025-07-03,27.8,84,2.4,4.95,28.68,88.64,1.18,4.43
Agartala,2025-07-04,27.3,87,6.5,5.09,27.74,92.18,10.87,4.05
Agartala,2025-07-05,27.1,88,5.5,4.64,27.76,91.53,3.96,3.77
Agartala,2025-07-06,27.1,88,9.9,4.28,27.1,92.26,4.9,3.75
Agartala,2025-07-07,25.8,93,25.8,4.71,27.5,88.3,21.19,5.5
Agartala,2025-07-08,25.2,97,29.1,4.96,27.01,92.59,45.79,5.17
Agartala,2025-07-09,25.1,96,22.7,4.64,27.14,92.32,48.16,4.9
Agartala,2025-07-10,26.3,92,19.6,3.72,27.08,90.85,37.37,4.34
Agartala,2025-07-11,28.3,84,0.7,2.96,28.35,88.08,11.77,2.81
Agartala,2025-07-12,29.0,87,15.0,1.96,28.84,86.44,3.82,1.46
Agartala,2025-07-13,28.1,90,22.2,1.84,28.69,88.65,6.63,1.54
Agartala,2025-07-14,26.7,91,9.8,4.28,28.0,90.33,14.58,4.68
Agartala,2025-07-15,27.5,89,4.4,3.48,27.66,92.24,8.48,3.7
Agartala,2025-07-16,28.1,88,11.7,2.22,27.96,90.79,27.74,2.8
Agartala,2025-07-17,27.5,90,11.5,1.66,28.16,88.75,17.49,2.28
Agartala,2025-07-18,28.2,87,1.9,2.04,28.72,87.82,9.14,2.47
Agartala,2025-07-19,28.6,86,6.0,2.24,28.27,89.3,1.37,3.37
Agartala,2025-07-20,27.7,92,3.8,1.29,28.71,87.11,28.88,1.69
Agartala,2025-07-21,28.8,87,5.1,1.73,29.58,84.27,13.52,1.6
Agartala,2025-07-22,29.2,86,3.6,1.62,28.84,88.9,7.07,2.45
Agartala,2025-07-23,29.6,84,13.1,1.52,30.09,84.01,19.71,1.3
Agartala,2025-07-24,28.8,84,9.5,2.73,29.38,90.13,25.88,1.93
Agartala,2025-07-25,28.5,81,2.6,5.48,28.7,90.31,11.48,4.82
Agartala,2025-07-26,27.3,90,6.6,4.35,28.41,90.89,18.6,4.81
Agartala,2025-07-27,27.0,92,12.3,3.9,28.5,91.23,18.58,3.96
Agartala,2025-07-28,26.3,94,17.2,3.36,28.38,90.48,14.74,3.48
Agartala,2025-07-29,27.2,90,8.8,4.11,27.86,90.17,10.23,4.4
Agartala,2025-07-30,27.2,89,13.7,4.21,27.94,88.97,5.15,4.03
Agartala,2025-07-31,26.4,92,5.8,4.55,27.53,92.17,23.44,4.83
Agartala,2025-08-01,27.5,89,21.8,4.12,28.41,90.31,13.26,4.11
Agartala,2025-08-02,27.9,87,1.1,4.16,27.83,92.95,7.05,3.93
Agartala,2025-08-03,27.9,86,2.7,4.22,28.14,91.18,16.88,4.12
Agartala,2025-08-04,26.3,94,31.7,2.54,27.7,94.44,46.88,3.44
Agartala,2025-08-05,26.8,90,29.6,2.59,28.13,88.86,25.71,2.58
Agartala,2025-08-06,26.8,90,13.2,2.51,27.82,89.4,33.46,2.9
Agartala,2025-08-07,27.2,87,2.1,3.49,27.71,91.43,36.25,3.7
Agartala,2025-08-08,26.2,90,4.3,4.0,26.33,93.01,14.43,3.89
Agartala,2025-08-09,27.3,87,0.4,3.27,27.3,90.3,7.54,3.76
Agartala,2025-08-10,28.6,81,0.5,2.97,28.05,88.92,3.83,3.57
Agartala,2025-08-11,28.9,83,0.9,2.52,28.44,88.41,0.63,2.84
Agartala,2025-08-12,28.8,85,7.6,2.29,28.86,87.8,0.18,2.54
Agartala,2025-08-13,26.4,94,33.0,1.7,27.0,90.74,40.09,1.83
Agartala,2025-08-14,26.9,92,16.8,2.24,27.11,91.15,9.96,1.8
Agartala,2025-08-15,28.2,86,2.1,1.93,28.08,87.47,10.73,1.96
Agartala,2025-08-16,28.1,89,41.4,1.64,28.75,84.6,15.03,1.31
Agartala,2025-08-17,28.5,88,4.4,2.02,28.64,88.69,8.57,1.71
Agartala,2025-08-18,27.9,87,6.2,2.62,28.74,88.35,19.98,2.46
Agartala,2025-08-19,27.7,85,8.5,3.87,27.82,90.19,14.33,3.59
Agartala,2025-08-20,26.6,89,4.4,4.42,27.73,91.25,7.37,3.84
Agartala,2025-08-21,26.1,91,9.3,4.73,27.44,93.48,6.13,3.85
Agartala,2025-08-22,26.3,90,3.9,5.32,27.19,92.59,8.78,5.44
Agartala,2025-08-23,26.2,91,13.0,4.97,27.33,91.06,8.08,5.67
Agartala,2025-08-24,27.0,88,1.7,3.3,27.52,90.48,5.36,3.75
Agartala,2025-08-25,28.6,81,0.0,1.84,28.04,87.87,3.6,1.96
Agartala,2025-08-26,28.9,81,1.1,1.88,28.01,88.94,17.38,1.85
Agartala,2025-08-27,28.2,81,0.3,3.56,27.78,89.28,6.18,2.8
Agartala,2025-08-28,27.0,88,1.7,3.69,27.57,90.43,4.37,3.29
Agartala,2025-08-29,26.8,92,15.5,2.78,27.69,90.2,6.17,2.27
Agartala,2025-08-30,27.2,92,8.0,1.65,28.4,86.64,4.3,1.5
Agartala,2025-08-31,28.0,90,1.1,0.81,27.98,89.48,7.85,1.35
Agartala,2025-09-01,29.6,83,8.2,3.5,29.21,86.5,7.44,1.65
Agartala,2025-09-02,28.5,85,4.8,1.72,28.88,85.81,18.92,3.2
Agartala,2025-09-03,28.5,85,4.5,2.62,28.85,85.62,3.19,2.15
Agartala,2025-09-04,27.8,88,9.5,2.48,27.66,90.15,5.51,2.1
Agartala,2025-09-05,28.5,87,4.5,1.97,28.02,87.46,2.01,2.05
Agartala,2025-09-06,28.8,84,10.5,1.97,27.94,86.32,9.56,1.28
Agartala,2025-09-07,27.7,87,4.2,1.4,27.86,90.8,41.71,1.87
Agartala,2025-09-08,28.9,85,0.9,1.47,28.52,83.59,10.6,1.14
Agartala,2025-09-09,28.2,88,1.6,1.55,28.93,85.25,11.16,1.49
Agartala,2025-09-10,28.2,88,5.1,1.91,27.74,92.6,2.56,2.4
Agartala,2025-09-11,28.2,87,4.1,2.06,28.17,89.78,2.64,2.41
Agartala,2025-09-12,26.8,93,17.3,1.91,27.71,91.12,21.61,2.08
Agartala,2025-09-13,26.8,92,20.1,2.4,27.53,91.32,12.95,2.24
Agartala,2025-09-14,25.5,96,11.4,2.32,26.7,93.67,28.92,2.57
Agartala,2025-09-15,25.5,95,10.2,2.77,26.57,91.49,26.33,2.77
Agartala,2025-09-16,26.1,93,5.9,2.89,26.62,91.13,14.47,3.6
Agartala,2025-09-17,27.4,87,0.6,1.68,27.23,88.19,1.11,2.39
Agartala,2025-09-18,27.7,90,6.2,1.24,27.41,89.67,6.78,2.23
Agartala,2025-09-19,28.1,87,4.0,1.1,28.65,87.55,8.68,1.61
Agartala,2025-09-20,28.0,90,12.9,0.88,28.5,89.85,1.22,1.34
Agartala,2025-09-21,28.0,89,34.0,1.47,27.79,91.47,4.75,1.25
Agartala,2025-09-22,26.9,88,2.7,2.71,26.94,93.75,39.97,2.15
Agartala,2025-09-23,28.5,83,0.2,2.23,27.79,89.84,5.41,2.05
Agartala,2025-09-24,27.6,90,11.2,1.36,27.81,89.4,8.63,1.41
Agartala,2025-09-25,28.7,88,0.3,1.75,28.02,88.74,9.13,1.42
Agartala,2025-09-26,28.5,87,2.3,2.34,28.51,88.48,6.76,2.22
Agartala,2025-09-27,27.9,89,18.7,1.67,28.36,87.66,4.51,1.58
Agartala,2025-09-28,28.2,86,1.8,1.09,27.26,91.37,12.41,1.65
Agartala,2025-09-29,28.9,84,0.4,1.18,28.26,86.96,6.23,1.72
Agartala,2025-09-30,29.3,81,16.7,1.56,28.88,85.73,6.81,1.73
Agartala,2025-10-01,25.6,94,27.9,2.33,27.3,94.13,20.75,2.49
Agartala,2025-10-02,25.6,95,30.2,2.95,27.01,94.52,17.79,2.66
Agartala,2025-10-03,26.8,90,3.1,2.23,27.2,92.02,8.81,2.41
Agartala,2025-10-04,27.2,89,1.9,2.63,27.35,91.0,8.02,2.54
Agartala,2025-10-05,26.7,89,13.6,2.67,26.74,91.06,3.79,2.87
Agartala,2025-10-06,26.0,92,3.5,1.88,26.63,91.8,16.07,1.99
Agartala,2025-10-07,26.1,91,7.7,1.55,27.14,86.0,8.71,1.05
Agartala,2025-10-08,26.1,91,4.8,1.66,27.37,86.77,20.47,1.43
Agartala,2025-10-09,26.3,91,2.5,1.05,27.05,86.8,34.13,1.34
Agartala,2025-10-10,26.2,92,39.8,1.09,27.32,83.45,18.48,1.16
Agartala,2025-10-11,25.6,91,17.1,1.17,27.08,85.88,9.85,0.97
Agartala,2025-10-12,26.0,83,0.2,1.18,26.25,87.38,1.9,1.8
Agartala,2025-10-13,26.7,81,0.0,1.19,25.67,84.6,0.08,1.8
Agartala,2025-10-14,27.3,83,0.0,1.19,26.18,85.0,0.01,2.0
Agartala,2025-10-15,27.6,85,0.2,1.18,26.12,84.61,0.01,1.98
Agartala,2025-10-16,27.2,87,1.8,1.34,26.69,85.16,0.32,1.76
Agartala,2025-10-17,27.8,84,0.4,1.27,26.79,86.15,0.33,1.99
Agartala,2025-10-18,28.1,79,0.2,1.8,27.17,83.25,0.04,1.76
Agartala,2025-10-19,27.9,82,0.9,1.33,26.87,79.9,0.07,1.84
Agartala,2025-10-20,28.5,77,0.4,1.44,26.74,78.82,0.03,1.68
Agartala,2025-10-21,29.2,71,0.0,1.64,27.25,77.26,0.0,1.5
Agartala,2025-10-22,29.3,75,1.1,1.23,27.71,77.23,0.04,1.31
Agartala,2025-10-23,28.8,74,0.1,1.62,27.59,81.37,0.27,1.33
Agartala,2025-10-24,28.1,77,0.2,1.4,26.81,81.58,0.17,1.61
Agartala,2025-10-25,28.5,70,0.0,1.18,26.52,79.96,0.01,1.33
Agartala,2025-10-26,28.8,66,0.0,1.56,26.39,79.8,0.0,1.54
Agartala,2025-10-27,29.4,65,0.0,1.23,26.43,78.79,0.02,1.87
Agartala,2025-10-28,28.7,73,0.0,1.39,27.76,69.21,0.02,1.1
Agartala,2025-10-29,28.1,77,0.6,0.94,27.92,74.52,3.19,0.93
Agartala,2025-10-30,28.2,80,1.4,1.49,28.36,75.7,23.47,0.6
Agartala,2025-10-31,28.8,74,0.0,1.31,28.54,77.62,1.43,0.97
Agartala,2025-11-01,27.7,81,9.3,1.19,27.1,88.28,2.34,1.86
Agartala,2025-11-02,25.8,90,4.3,1.27,26.4,90.93,15.23,2.29
Agartala,2025-11-03,25.7,83,0.6,2.09,25.05,89.02,0.95,2.65
Agartala,2025-11-04,26.8,84,7.3,2.26,25.45,85.66,1.67,2.26
Agartala,2025-11-05,25.5,88,5.4,2.27,24.96,90.62,6.4,2.41
Agartala,2025-11-06,25.6,89,0.7,1.08,25.77,87.37,9.13,1.6
Agartala,2025-11-07,26.0,82,0.0,1.84,24.44,86.13,0.17,2.7
Agartala,2025-11-08,25.7,78,0.0,2.38,23.52,84.96,0.0,2.92
Agartala,2025-11-09,24.3,80,0.0,1.67,21.96,84.89,0.0,2.34
Agartala,2025-11-10,24.0,78,0.0,1.52,22.08,84.9,0.0,2.21
Agartala,2025-11-11,23.8,74,0.0,1.97,21.34,86.12,0.0,2.62
Agartala,2025-11-12,23.0,73,0.0,1.79,20.64,81.36,0.0,2.29
Agartala,2025-11-13,22.9,72,0.0,1.58,20.68,79.36,0.0,1.76
Agartala,2025-11-14,22.7,69,0.0,1.41,21.0,73.08,0.0,1.4
Agartala,2025-11-15,22.8,70,0.0,1.69,20.61,73.86,0.0,1.81
Agartala,2025-11-16,22.9,71,0.0,1.63,21.22,74.41,0.0,1.65
Agartala,2025-11-17,23.2,71,0.0,1.41,21.81,79.67,0.0,1.65
Agartala,2025-11-18,23.5,66,0.0,1.81,21.98,84.96,0.0,2.34
Agartala,2025-11-19,23.4,66,0.0,1.61,21.66,79.74,0.0,2.12
Agartala,2025-11-20,23.1,68,0.0,1.21,20.8,78.45,0.0,2.01
Agartala,2025-11-21,22.3,68,0.0,1.07,20.71,72.69,0.0,1.58
Agartala,2025-11-22,22.2,69,0.0,1.0,20.16,75.93,0.0,1.49
Agartala,2025-11-23,21.6,74,0.0,1.6,19.54,79.55,0.0,2.03
Agartala,2025-11-24,21.2,76,0.0,1.8,18.88,84.56,0.0,2.49
